# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
neckline edge,-84.4244,-162.714,16.310,222.296
neckline edge,-84.3385,-162.880,16.325,222.974
neckline edge,-84.2527,-163.033,16.345,223.650
neckline edge,-84.1668,-163.173,16.371,224.325
neckline edge,-84.0810,-163.300,16.402,224.998
neckline edge,-83.9952,-163.413,16.439,225.669
neckline edge,-83.9093,-163.512,16.481,226.338
neckline edge,-83.8235,-163.598,16.529,227.004
neckline edge,-83.7376,-163.669,16.582,227.668
neckline edge,-83.6518,-163.726,16.641,228.328
neckline edge,-83.5660,-163.769,16.706,228.984
neckline edge,-83.4801,-163.798,16.776,229.637
neckline edge,-83.3943,-163.812,16.851,230.286
neckline edge,-83.3084,-163.812,16.932,230.930
neckline edge,-83.2226,-163.799,17.018,231.570
neckline edge,-83.1368,-163.771,17.109,232.205
neckline edge,-83.0509,-163.730,17.205,232.834
neckline edge,-82.9651,-163.676,17.305,233.458
neckline edge,-82.8792,-163.608,17.411,234.076
neckline edge,-82.7934,-163.527,17.520,234.688
neckline edge,-82.7075,-163.435,17.633,235.294
neckline edge,-82.6217,-163.330,17.751,235.892
neckline edge,-82.5359,-163.213,17.873,236.484
neckline edge,-82.4500,-163.086,17.998,237.068
neckline edge,-82.3642,-162.948,18.126,237.645
neckline edge,-82.2783,-162.799,18.258,238.214
neckline edge,-82.1925,-162.641,18.393,238.774
neckline edge,-82.1067,-162.473,18.530,239.326
neckline edge,-82.0208,-162.297,18.670,239.870
neckline edge,-81.9350,-162.211,18.851,239.983
neckline edge,-81.8491,-162.153,19.045,239.959
neckline edge,-81.7633,-162.096,19.238,239.936
neckline edge,-81.6775,-162.037,19.431,239.913
neckline edge,-81.5916,-161.978,19.624,239.890
neckline edge,-81.5058,-161.919,19.817,239.867
neckline edge,-81.4199,-161.859,20.010,239.844
neckline edge,-81.3341,-161.798,20.203,239.820
neckline edge,-81.2483,-161.737,20.395,239.797
neckline edge,-81.1624,-161.675,20.587,239.774
neckline edge,-81.0766,-161.612,20.779,239.750
neckline edge,-80.9907,-161.549,20.971,239.727
neckline edge,-80.9049,-161.485,21.163,239.703
neckline edge,-80.8191,-161.421,21.354,239.680
neckline edge,-80.7332,-161.356,21.546,239.656
neckline edge,-80.6474,-161.290,21.737,239.633
neckline edge,-80.5615,-161.224,21.928,239.609
neckline edge,-80.4757,-161.157,22.118,239.586
neckline edge,-80.3898,-161.090,22.309,239.562
neckline edge,-80.3040,-161.022,22.499,239.538
neckline edge,-80.2182,-160.954,22.689,239.515
neckline edge,-80.1323,-160.885,22.879,239.491
neckline edge,-80.0465,-160.815,23.068,239.467
neckline edge,-79.9606,-160.745,23.258,239.443
neckline edge,-79.8748,-160.674,23.448,239.419
neckline edge,-79.7890,-160.602,23.637,239.396
neckline edge,-79.7031,-160.531,23.825,239.372
neckline edge,-79.6173,-160.458,24.014,239.348
neckline edge,-79.5314,-160.385,24.203,239.324
neckline edge,-79.4456,-160.311,24.391,239.300
neckline edge,-79.3598,-160.237,24.579,239.276
neckline edge,-79.2739,-160.162,24.767,239.252
neckline edge,-79.1881,-160.087,24.955,239.227
neckline edge,-79.1022,-160.011,25.142,239.203
neckline edge,-79.0164,-159.934,25.329,239.179
neckline edge,-78.9306,-159.857,25.516,239.155
neckline edge,-78.8447,-159.780,25.703,239.131
neckline edge,-78.7589,-159.701,25.890,239.107
neckline edge,-78.6730,-159.623,26.076,239.082
neckline edge,-78.5872,-159.543,26.262,239.058
neckline edge,-78.5014,-159.464,26.448,239.034
neckline edge,-78.4155,-159.383,26.634,239.009
neckline edge,-78.3297,-159.302,26.819,238.985
neckline edge,-78.2438,-159.221,27.004,238.960
neckline edge,-78.1580,-159.139,27.189,238.936
neckline edge,-78.0721,-159.056,27.374,238.911
neckline edge,-77.9863,-158.973,27.559,238.887
neckline edge,-77.9005,-158.889,27.743,238.862
neckline edge,-77.8146,-158.805,27.927,238.838
neckline edge,-77.7288,-158.720,28.111,238.813
neckline edge,-77.6429,-158.635,28.295,238.789
neckline edge,-77.5571,-158.549,28.479,238.764
neckline edge,-77.4713,-158.463,28.662,238.739
neckline edge,-77.3854,-158.376,28.845,238.714
neckline edge,-77.2996,-158.289,29.028,238.690
neckline edge,-77.2137,-158.201,29.210,238.665
neckline edge,-77.1279,-158.113,29.392,238.640
neckline edge,-77.0421,-158.024,29.574,238.615
neckline edge,-76.9562,-157.934,29.756,238.590
neckline edge,-76.8704,-157.844,29.938,238.566
neckline edge,-76.7845,-157.754,30.119,238.541
neckline edge,-76.6987,-157.663,30.300,238.516
neckline edge,-76.6129,-157.571,30.481,238.491
neckline edge,-76.5270,-157.479,30.662,238.466
neckline edge,-76.4412,-157.387,30.842,238.441
neckline edge,-76.3553,-157.294,31.022,238.416
neckline edge,-76.2695,-157.200,31.202,238.391
neckline edge,-76.1837,-157.106,31.382,238.365
neckline edge,-76.0978,-157.011,31.561,238.340
neckline edge,-76.0120,-156.916,31.740,238.315
neckline edge,-75.9261,-156.821,31.919,238.290
